nodok;nik;nodok_ref;tgl_nodok_ref;tgl_kerja;kdijin;kdtrx;nominal;status;keterangan;input_date;approval_date;input_by;approval_by;delete_by;cancel_by;update_date;delete_date;cancel_date;update_by;shiftke;flag_cuti;cuti_nominal;jam_masuk_absen;jam_pulang_absen;urut;gajipokok;periode_gaji;nikmap;nodoktmp
0321.434    ;0316.196    ;;;2019-07-19;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7603;0.00;201907;;
0321.434    ;0316.196    ;;;2019-07-20;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7629;0.00;201907;;
0321.434    ;0316.196    ;;;2019-07-22;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7636;0.00;201907;;
0321.434    ;0316.196    ;;;2019-07-23;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7676;0.00;201907;;
0321.434    ;0318.308    ;;;2019-07-19;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7589;0.00;201907;;
0321.434    ;0318.308    ;;;2019-07-20;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7616;0.00;201907;;
0321.434    ;0318.308    ;;;2019-07-22;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7649;0.00;201907;;
0321.434    ;0318.308    ;;;2019-07-23;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7688;0.00;201907;;
0321.434    ;0319.346    ;;;2019-07-19;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7590;0.00;201907;;
0321.434    ;0319.346    ;;;2019-07-20;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7618;0.00;201907;;
0321.434    ;0319.346    ;;;2019-07-22;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7647;0.00;201907;;
0321.434    ;0319.346    ;;;2019-07-23;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7689;0.00;201907;;
0321.434    ;0418.310    ;;;2019-07-20;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7610;0.00;201907;;
0321.434    ;0418.310    ;;;2019-07-22;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7651;0.00;201907;;
0321.434    ;0418.310    ;;;2019-07-23;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7682;0.00;201907;;
0321.434    ;0418.314    ;;;2019-07-19;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7599;0.00;201907;;
0321.434    ;0612.069    ;;;2019-07-22;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7642;0.00;201907;;
0321.434    ;0612.069    ;;;2019-07-23;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7679;0.00;201907;;
0321.434    ;0719.352    ;;;2019-07-22;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7645;0.00;201907;;
0321.434    ;0719.352    ;;;2019-07-23;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7684;0.00;201907;;
0321.434    ;0818.330    ;;;2019-07-19;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7606;0.00;201907;;
0321.434    ;0818.330    ;;;2019-07-20;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7608;0.00;201907;;
0321.434    ;0818.330    ;;;2019-07-22;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7639;0.00;201907;;
0321.434    ;0818.330    ;;;2019-07-23;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7662;0.00;201907;;
0321.434    ;0917.276    ;;;2019-07-19;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7605;0.00;201907;;
0321.434    ;0917.276    ;;;2019-07-20;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7609;0.00;201907;;
0321.434    ;0917.276    ;;;2019-07-22;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7657;0.00;201907;;
0321.434    ;0917.276    ;;;2019-07-23;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7663;0.00;201907;;
0321.434    ;0917.277    ;;;2019-07-19;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7598;0.00;201907;;
0321.434    ;0917.277    ;;;2019-07-22;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7637;0.00;201907;;
0321.434    ;0917.277    ;;;2019-07-23;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7664;0.00;201907;;
0321.434    ;0917.280    ;;;2019-07-19;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7583;0.00;201907;;
0321.434    ;0917.280    ;;;2019-07-20;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7612;0.00;201907;;
0321.434    ;0917.280    ;;;2019-07-22;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7631;0.00;201907;;
0321.434    ;0917.280    ;;;2019-07-23;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7665;0.00;201907;;
0321.434    ;0918.334    ;;;2019-07-19;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7588;0.00;201907;;
0321.434    ;0918.334    ;;;2019-07-22;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7654;0.00;201907;;
0321.434    ;0918.334    ;;;2019-07-23;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7685;0.00;201907;;
